"condition","responded","yes","dem","rep","lean_dem","lean_rep","dem_condition","rep_condition","neutral_condition","copart_condition","counterpart_condition","strong_dem","strong_rep","strong_part","age","race_fixed","educ_fixed","gender"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,63,"White","Trade School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,28,"Hispanic","College","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,37,"Asian","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,42,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,78,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,69,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,42,"White","Trade School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,73,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,63,"Other","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,69,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,60,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,62,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,54,"Black","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,71,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,66,"Other","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,15,"White","< High School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,52,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,55,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,66,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,73,"Other","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,55,NA,"College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,36,"Hispanic","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,70,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,71,"Asian","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,54,"White","Trade School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,67,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,58,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,78,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,67,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,66,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,84,"White","Grad School","Male"
"Republican campaigns",1,1,1,0,1,0,0,1,0,0,1,0,0,0,63,"White","College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,55,"White","High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,93,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,67,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,0,1,0,1,0,0,1,0,0,0,0,0,45,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,55,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,63,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,64,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,65,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,39,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,61,"White","Grad School","Male"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,50,"White","High School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,66,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,61,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,67,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,62,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,19,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,76,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,65,"Other","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,NA,"White","High School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,66,"White","< High School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,76,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,41,"Other","College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,53,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,35,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,80,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,62,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,60,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,78,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,51,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,55,"Hispanic","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,59,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,46,"White","High School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,82,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,82,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,63,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,62,"White","Grad School","Female"
"Republican campaigns",0,0,0,1,0,1,0,1,0,1,0,0,0,0,23,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,35,"White","Trade School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,78,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,48,"White","College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,38,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,66,"White","College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,59,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,63,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,54,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,0,1,0,0,0,0,1,0,0,0,0,0,57,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,59,"Other","College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,65,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,58,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,52,"White","Grad School","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,46,"White","Trade School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,51,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,73,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,67,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,63,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,67,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,80,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,51,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,67,"White","Some Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,78,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,75,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,74,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,56,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,88,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,40,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,75,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,46,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,63,"Other","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,69,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,73,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,61,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,67,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,60,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,81,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,71,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,60,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,73,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,83,NA,"Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,64,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,66,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,63,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,68,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,61,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,62,"Hispanic","High School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,77,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,31,"Black","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,60,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,64,"Other","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,68,"White","College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,64,"Other","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,65,"White","Trade School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,67,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,58,"Hispanic","Grad School","Male"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,0,0,67,"White","Some Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,61,"White","Trade School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,80,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,65,"Hispanic","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,69,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,79,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,91,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,65,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,68,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,57,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,67,"White","High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,73,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,59,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,76,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,56,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,74,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,65,"White","Trade School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,62,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,81,NA,"Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,71,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,61,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,59,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,88,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,81,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,65,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,57,"White","College","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,47,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,83,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,57,"White","Some Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,64,"Asian","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,60,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,73,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,71,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,64,"White","Trade School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,57,"White","Trade School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,50,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,49,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,82,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,68,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,64,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,67,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,71,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,72,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,85,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,69,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,58,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,59,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,"Hispanic","< High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,69,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,48,"White","High School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,58,"White","Trade School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,45,"White","High School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,83,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,68,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,46,"White","Trade School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,55,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,66,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,70,"Other","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,72,"White","College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,47,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,29,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,89,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,24,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,58,"White","Some Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,77,"White","Trade School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,70,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,46,"White","High School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,61,"Other","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,72,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,75,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,66,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,52,"White","Some Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,53,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,24,"Hispanic","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,49,"Other","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,73,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,71,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,72,"Asian","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,70,"White","High School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,76,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,NA,"Other","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,71,"Hispanic","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,69,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,55,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,68,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,62,"White","High School","Female"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,0,0,33,"Asian","Grad School","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,77,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,40,"White","College","Female"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,0,0,67,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,0,1,0,0,0,0,1,0,0,0,0,0,70,"White","College","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,39,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,62,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,68,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,79,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,32,"Other","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,45,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,75,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,68,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,58,"Other","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,63,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,51,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,81,"White","Some Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,62,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,71,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,67,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,57,"White","Trade School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,68,"White","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,70,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,18,"White","< High School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,71,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,68,"Other","High School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,72,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,58,"White","Some College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,76,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,81,"Other","Some College","Female"
"Republican campaigns",1,0,1,0,0,0,0,1,0,0,1,0,0,0,28,"Black","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,NA,"White","College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,54,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,38,"White","Some Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,67,"White","Some College","Male"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,52,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,57,"Hispanic","High School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,72,"White","High School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Grad School","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,60,"Hispanic","High School","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,74,"White","College","Male"
